Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Data Anomaly,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_L1TP_090084_20050207_20161127_01_T1,LT50900842005038ASA01,2005/02/07,LANDSAT_5,T1,1,BUMPER, 090, 084,2016/11/27,2005:038:23:36:31.0063800,2005:038:23:36:57.6192500,ASA,DAY,17,18,183,4,4.423,3.169,3.086,N,,9,N,LPGS_12.8.2,FULL,49.47105095,71.19446864,TM_L1TP,TM,DEFINITIVE,7261,8171,7261,8171,UTM,55,WGS84,WGS84,30,30,LT05CPF_20050101_20050331_01.03,34°36'33.59"S,149°48'03.31"E,33°40'19.27"S,149°02'23.89"E,33°57'30.42"S,151°00'30.85"E,35°14'56.83"S,148°34'31.37"E,35°32'27.20"S,150°34'48.97"E,-34.60933,149.80092,-33.67202,149.03997,-33.95845,151.00857,-35.24912,148.57538,-35.54089,150.58027,LT05_L1TP_090084_20050207_20161127_01_T1,LT50900842005038ASA01,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842005038ASA01
LT05_L1GS_090084_20050122_20161128_01_T2,LT50900842005022ASA01,2005/01/22,LANDSAT_5,T2,1,BUMPER, 090, 084,2016/11/28,2005:022:23:36:18.1600000,2005:022:23:36:44.7728800,ASA,DAY,38,37,-1,-1,,,,N,,9,N,LPGS_12.8.2,FULL,52.39080244,76.58287971,TM_L1GS,TM,DEFINITIVE,7261,8171,7261,8171,UTM,55,WGS84,WGS84,30,30,LT05CPF_20050101_20050331_01.03,34°36'08.39"S,149°47'52.12"E,33°39'54.11"S,149°02'12.88"E,33°57'05.15"S,151°00'19.26"E,35°14'31.67"S,148°34'20.57"E,35°32'01.97"S,150°34'37.60"E,-34.60233,149.79781,-33.66503,149.03691,-33.95143,151.00535,-35.24213,148.57238,-35.53388,150.57711,LT05_L1GS_090084_20050122_20161128_01_T2,LT50900842005022ASA01,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842005022ASA01
LT05_L1TP_090084_20050106_20161129_01_T1,LT50900842005006ASA01,2005/01/06,LANDSAT_5,T1,1,BUMPER, 090, 084,2016/11/29,2005:006:23:36:04.8768800,2005:006:23:36:31.4897500,ASA,DAY,0,0,184,4,4.555,3.244,3.197,N,,9,N,LPGS_12.8.2,FULL,54.94727554,79.74911464,TM_L1TP,TM,DEFINITIVE,7271,8161,7271,8161,UTM,55,WGS84,WGS84,30,30,LT05CPF_20050101_20050331_01.03,34°36'28.62"S,149°47'21.52"E,33°40'14.30"S,149°01'42.13"E,33°57'25.42"S,150°59'48.98"E,35°14'51.86"S,148°33'49.64"E,35°32'22.24"S,150°34'07.14"E,-34.60795,149.78931,-33.67064,149.02837,-33.95706,150.99694,-35.24774,148.56379,-35.53951,150.56865,LT05_L1TP_090084_20050106_20161129_01_T1,LT50900842005006ASA01,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842005006ASA01
LT05_L1TP_090084_20041221_20161129_01_T1,LT50900842004356ASA00,2004/12/21,LANDSAT_5,T1,1,, 090, 084,2016/11/29,2004:356:23:35:52.1390600,2004:356:23:36:18.7519400,ASA,DAY,6,8,152,4,4.678,3.337,3.278,N,,9,N,LPGS_12.8.2,FULL,56.93737809,79.97975955,TM_L1TP,TM,DEFINITIVE,7261,8131,7261,8131,UTM,55,WGS84,WGS84,30,30,LT05CPF_20041001_20041231_01.03,34°35'50.96"S,149°46'39.83"E,33°39'36.72"S,149°01'00.73"E,33°56'47.69"S,150°59'06.72"E,35°14'14.28"S,148°33'08.57"E,35°31'44.54"S,150°33'25.16"E,-34.59749,149.77773,-33.6602,149.01687,-33.94658,150.9852,-35.2373,148.55238,-35.52904,150.55699,LT05_L1TP_090084_20041221_20161129_01_T1,LT50900842004356ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004356ASA00
LT05_L1TP_090084_20041205_20161127_01_T1,LT50900842004340ASA00,2004/12/05,LANDSAT_5,T1,1,, 090, 084,2016/11/27,2004:340:23:35:35.0771300,2004:340:23:36:01.6900000,ASA,DAY,36,36,123,4,4.686,3.62,2.975,N,,9,N,LPGS_12.8.2,FULL,57.95122142,76.94543817,TM_L1TP,TM,DEFINITIVE,7261,8111,7261,8111,UTM,55,WGS84,WGS84,30,30,LT05CPF_20041001_20041231_01.03,34°36'16.13"S,149°46'41.81"E,33°40'01.85"S,149°01'02.53"E,33°57'12.92"S,150°59'09.10"E,35°14'39.41"S,148°33'10.15"E,35°32'09.74"S,150°33'27.36"E,-34.60448,149.77828,-33.66718,149.01737,-33.95359,150.98586,-35.24428,148.55282,-35.53604,150.5576,LT05_L1TP_090084_20041205_20161127_01_T1,LT50900842004340ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004340ASA00
LT05_L1GS_090084_20041119_20161129_01_T2,LT50900842004324ASA00,2004/11/19,LANDSAT_5,T2,1,, 090, 084,2016/11/29,2004:324:23:35:11.0911300,2004:324:23:35:37.7040000,ASA,DAY,87,86,-1,-1,,,,N,,9,N,LPGS_12.8.2,FULL,57.48153402,71.34054669,TM_L1GS,TM,DEFINITIVE,7261,8111,7261,8111,UTM,55,WGS84,WGS84,30,30,LT05CPF_20041001_20041231_01.03,34°36'11.92"S,149°48'20.95"E,33°39'57.64"S,149°02'41.71"E,33°57'08.68"S,151°00'48.17"E,35°14'35.20"S,148°34'49.33"E,35°32'05.53"S,150°35'06.47"E,-34.60331,149.80582,-33.66601,149.04492,-33.95241,151.01338,-35.24311,148.58037,-35.53487,150.58513,LT05_L1GS_090084_20041119_20161129_01_T2,LT50900842004324ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004324ASA00
LT05_L1TP_090084_20041103_20161128_01_T1,LT50900842004308ASA00,2004/11/03,LANDSAT_5,T1,1,, 090, 084,2016/11/28,2004:308:23:34:58.7990000,2004:308:23:35:25.4118800,ASA,DAY,10,11,124,4,4.12,3.184,2.614,N,,9,N,LPGS_12.8.2,FULL,55.2275206,64.65984144,TM_L1TP,TM,DEFINITIVE,7261,8141,7261,8141,UTM,55,WGS84,WGS84,30,30,LT05CPF_20041001_20041231_01.03,34°36'23.22"S,149°46'47.78"E,33°40'08.90"S,149°01'08.44"E,33°57'20.02"S,150°59'15.18"E,35°14'46.46"S,148°33'15.98"E,35°32'16.84"S,150°33'33.37"E,-34.60645,149.77994,-33.66914,149.01901,-33.95556,150.98755,-35.24624,148.55444,-35.53801,150.55927,LT05_L1TP_090084_20041103_20161128_01_T1,LT50900842004308ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004308ASA00
LT05_L1GS_090084_20041018_20161129_01_T2,LT50900842004292ASA00,2004/10/18,LANDSAT_5,T2,1,, 090, 084,2016/11/29,2004:292:23:34:39.6890000,2004:292:23:35:06.3018800,ASA,DAY,98,97,-1,-1,,,,N,,9,N,LPGS_12.8.2,FULL,51.29725363,58.45718872,TM_L1GS,TM,DEFINITIVE,7261,8161,7261,8161,UTM,55,WGS84,WGS84,30,30,LT05CPF_20041001_20041231_01.03,34°36'13.21"S,149°46'46.99"E,33°39'58.93"S,149°01'07.72"E,33°57'09.97"S,150°59'14.24"E,35°14'36.49"S,148°33'15.37"E,35°32'06.83"S,150°33'32.51"E,-34.60367,149.77972,-33.66637,149.01881,-33.95277,150.98729,-35.24347,148.55427,-35.53523,150.55903,LT05_L1GS_090084_20041018_20161129_01_T2,LT50900842004292ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004292ASA00
LT05_L1TP_090084_20041002_20161128_01_T1,LT50900842004276ASA00,2004/10/02,LANDSAT_5,T1,1,, 090, 084,2016/11/28,2004:276:23:34:18.7838100,2004:276:23:34:45.3966900,ASA,DAY,1,1,208,4,3.93,2.839,2.717,N,,9,N,LPGS_12.8.2,FULL,46.17690317,53.38110586,TM_L1TP,TM,DEFINITIVE,7261,8171,7261,8171,UTM,55,WGS84,WGS84,30,30,LT05CPF_20041001_20041231_01.03,34°36'21.28"S,149°46'51.49"E,33°40'07.00"S,149°01'12.18"E,33°57'18.07"S,150°59'18.85"E,35°14'44.52"S,148°33'19.73"E,35°32'14.89"S,150°33'37.08"E,-34.60591,149.78097,-33.66861,149.02005,-33.95502,150.98857,-35.2457,148.55548,-35.53747,150.5603,LT05_L1TP_090084_20041002_20161128_01_T1,LT50900842004276ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004276ASA00
LT05_L1TP_090084_20040916_20161130_01_T1,LT50900842004260ASA00,2004/09/16,LANDSAT_5,T1,1,, 090, 084,2016/11/30,2004:260:23:33:57.3755600,2004:260:23:34:23.9885000,ASA,DAY,5,4,201,4,4.246,3.059,2.945,N,,9,N,LPGS_12.8.2,FULL,40.48322863,49.41954462,TM_L1TP,TM,DEFINITIVE,7261,8161,7261,8161,UTM,55,WGS84,WGS84,30,30,LT05CPF_20040701_20040930_01.03,34°35'56.87"S,149°46'51.64"E,33°39'42.59"S,149°01'12.50"E,33°56'53.63"S,150°59'18.64"E,35°14'20.18"S,148°33'20.27"E,35°31'50.45"S,150°33'37.01"E,-34.59913,149.78101,-33.66183,149.02014,-33.94823,150.98851,-35.23894,148.55563,-35.53068,150.56028,LT05_L1TP_090084_20040916_20161130_01_T1,LT50900842004260ASA00,https://earthexplorer.usgs.gov/browse-link/12266/LT50900842004260ASA00
