Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Date L-1 Generated,WRS Path,WRS Row,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec
LM05_L1TP_090084_19850726_20180407_01_T2,LM50900841985207ASA01,1985/07/26,T2,2018/04/07, 090, 084,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.1749,148.58705,-35.46611,150.59239
LM05_L1TP_090084_19850811_20180407_01_T2,LM50900841985223ASA01,1985/08/11,T2,2018/04/07, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1TP_090084_19850827_20180407_01_T2,LM50900841985239ASA01,1985/08/27,T2,2018/04/07, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1GS_090084_19850912_20180407_01_T2,LM50900841985255ASA01,1985/09/12,T2,2018/04/07, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19850928_20180407_01_T2,LM50900841985271ASA01,1985/09/28,T2,2018/04/07, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1GS_090084_19851014_20180407_01_T2,LM50900841985287ASA01,1985/10/14,T2,2018/04/07, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19851030_20180407_01_T2,LM50900841985303ASA01,1985/10/30,T2,2018/04/07, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1TP_090084_19851115_20180407_01_T2,LM50900841985319ASA01,1985/11/15,T2,2018/04/07, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1GS_090084_19851201_20180408_01_T2,LM50900841985335ASA01,1985/12/01,T2,2018/04/08, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19851217_20180408_01_T2,LM50900841985351ASA01,1985/12/17,T2,2018/04/08, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1TP_090084_19860118_20180330_01_T2,LM50900841986018ASA01,1986/01/18,T2,2018/03/30, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1TP_090084_19860203_20180330_01_T2,LM50900841986034ASA01,1986/02/03,T2,2018/03/30, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1TP_090084_19860219_20180330_01_T2,LM50900841986050ASA01,1986/02/19,T2,2018/03/30, 090, 084,-34.58333,149.85001,-33.69487,149.07542,-33.98092,151.04639,-35.1749,148.63705,-35.46611,150.6424
LM05_L1GS_090084_19860307_20180331_01_T2,LM50900841986066ASA01,1986/03/07,T2,2018/03/31, 090, 084,-34.58333,149.86667,-33.69487,149.09209,-33.98092,151.06305,-35.1749,148.65372,-35.46611,150.65906
LM05_L1TP_090084_19860323_20180331_01_T2,LM50900841986082ASA01,1986/03/23,T2,2018/03/31, 090, 084,-34.58333,149.83333,-33.69487,149.05875,-33.98092,151.02971,-35.1749,148.62038,-35.46611,150.62572
LM05_L1TP_090084_19860408_20180331_01_T2,LM50900841986098ASA01,1986/04/08,T2,2018/03/31, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1TP_090084_19860424_20180331_01_T2,LM50900841986114ASA01,1986/04/24,T2,2018/03/31, 090, 084,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.1749,148.58705,-35.46611,150.59239
LM05_L1TP_090084_19860510_20180331_01_T2,LM50900841986130ASA01,1986/05/10,T2,2018/03/31, 090, 084,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.1749,148.57039,-35.46611,150.57573
LM05_L1TP_090084_19860526_20180331_01_T2,LM50900841986146ASA01,1986/05/26,T2,2018/03/31, 090, 084,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.1749,148.57039,-35.46611,150.57573
LM05_L1GS_090084_19860611_20180401_01_T2,LM50900841986162ASA01,1986/06/11,T2,2018/04/01, 090, 084,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.1749,148.57039,-35.46611,150.57573
LM05_L1GS_090084_19860627_20180401_01_T2,LM50900841986178ASA01,1986/06/27,T2,2018/04/01, 090, 084,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.1749,148.57039,-35.46611,150.57573
LM05_L1GS_090084_19860713_20180401_01_T2,LM50900841986194ASA01,1986/07/13,T2,2018/04/01, 090, 084,-34.58333,149.8,-33.69487,149.02542,-33.98092,150.99638,-35.1749,148.58705,-35.46611,150.59239
LM05_L1TP_090084_19860729_20180401_01_T2,LM50900841986210ASA01,1986/07/29,T2,2018/04/01, 090, 084,-34.6,149.83333,-33.71151,149.05862,-33.99762,151.02997,-35.19153,148.62012,-35.48279,150.62585
LM05_L1GS_090084_19860814_20180401_01_T2,LM50900841986226ASA01,1986/08/14,T2,2018/04/01, 090, 084,-34.6,149.85001,-33.71151,149.0753,-33.99762,151.04665,-35.19153,148.6368,-35.48279,150.64253
LM05_L1TP_090084_19860830_20180401_01_T2,LM50900841986242ASA01,1986/08/30,T2,2018/04/01, 090, 084,-34.6,149.86667,-33.71151,149.09196,-33.99762,151.06331,-35.19153,148.65346,-35.48279,150.65919
LM05_L1TP_090084_19860915_20180402_01_T2,LM50900841986258ASA01,1986/09/15,T2,2018/04/02, 090, 084,-34.6,149.86667,-33.71151,149.09196,-33.99762,151.06331,-35.19153,148.65346,-35.48279,150.65919
LM05_L1TP_090084_19861001_20180402_01_T2,LM50900841986274ASA01,1986/10/01,T2,2018/04/02, 090, 084,-34.6,149.85001,-33.71151,149.0753,-33.99762,151.04665,-35.19153,148.6368,-35.48279,150.64253
LM05_L1TP_090084_19861017_20180402_01_T2,LM50900841986290ASA01,1986/10/17,T2,2018/04/02, 090, 084,-34.6,149.83333,-33.71151,149.05862,-33.99762,151.02997,-35.19153,148.62012,-35.48279,150.62585
LM05_L1TP_090084_19861102_20180402_01_T2,LM50900841986306ASA02,1986/11/02,T2,2018/04/02, 090, 084,-34.6,149.83333,-33.71151,149.05862,-33.99762,151.02997,-35.19153,148.62012,-35.48279,150.62585
LM05_L1TP_090084_19861220_20180405_01_T2,LM50900841986354ASA01,1986/12/20,T2,2018/04/05, 090, 084,-34.58333,149.7,-33.69487,148.92542,-33.98092,150.89638,-35.1749,148.48705,-35.46611,150.49239
LM05_L1TP_090084_19870105_20180327_01_T2,LM50900841987005ASA02,1987/01/05,T2,2018/03/27, 090, 084,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.1749,148.53705,-35.46611,150.54239
LM05_L1TP_090084_19870121_20180328_01_T2,LM50900841987021ASA02,1987/01/21,T2,2018/03/28, 090, 084,-34.58333,149.78334,-33.69487,149.00876,-33.98092,150.97972,-35.1749,148.57039,-35.46611,150.57573
LM05_L1GS_090084_19870206_20180328_01_T2,LM50900841987037ASA02,1987/02/06,T2,2018/03/28, 090, 084,-34.58333,149.81667,-33.69487,149.04208,-33.98092,151.01305,-35.1749,148.60371,-35.46611,150.60905
LM05_L1TP_090084_19870310_20180328_01_T2,LM50900841987069ASA02,1987/03/10,T2,2018/03/28, 090, 084,-34.58333,149.76666,-33.69487,148.99208,-33.98092,150.96304,-35.1749,148.55371,-35.46611,150.55905
LM05_L1GS_090084_19870326_20180328_01_T2,LM50900841987085ASA02,1987/03/26,T2,2018/03/28, 090, 084,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.1749,148.53705,-35.46611,150.54239
LM05_L1TP_090084_19870411_20180328_01_T2,LM50900841987101ASA01,1987/04/11,T2,2018/03/28, 090, 084,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.1749,148.53705,-35.46611,150.54239
LM05_L1TP_090084_19870427_20180328_01_T2,LM50900841987117ASA01,1987/04/27,T2,2018/03/28, 090, 084,-34.58333,149.73334,-33.69487,148.95876,-33.98092,150.92972,-35.1749,148.52039,-35.46611,150.52573
LM05_L1GS_090084_19870513_20180328_01_T2,LM50900841987133ASA01,1987/05/13,T2,2018/03/28, 090, 084,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.1749,148.53705,-35.46611,150.54239
LT05_L1TP_090084_19870529_20170212_01_T1,LT50900841987149ASA00,1987/05/29,T1,2017/02/12, 090, 084,-34.59864,149.76119,-33.66135,149.00032,-33.94774,150.96868,-35.23845,148.53582,-35.53019,150.54046
LM05_L1TP_090084_19870529_20180328_01_T2,LM50900841987149ASA01,1987/05/29,T2,2018/03/28, 090, 084,-34.58333,149.75,-33.69487,148.97542,-33.98092,150.94638,-35.1749,148.53705,-35.46611,150.54239
